NEIGHBORHOOD,GENDER,POPULATION
Diktel Rupakot Majhuwagadhi,female,25358
Diktel Rupakot Majhuwagadhi,male,22502
Diprung Chuichumma,female,10818
Diprung Chuichumma,male,9357
Halesi Tuwachung,female,15541
Halesi Tuwachung,male,14034
Jantedhunga,female,8032
Jantedhunga,male,7487
Kepilasgadhi,female,7965
Kepilasgadhi,male,7323
Khotehang,female,12025
Khotehang,male,10460
Rawabesi,female,7191
Rawabesi,male,6178
Sakela,female,6131
Sakela,male,5463
Bagmati_lalitpur,female,6595
Bagmati_lalitpur,male,6454
Godawari,female,40661
Godawari,male,39715
Konjyosom,female,5113
Konjyosom,male,4596
Lalitpur,female,141570
Lalitpur,male,151278
Mahalaxmi,female,31241
Mahalaxmi,male,31383
Mahankal,female,4870
Mahankal,male,4656
Besishahar,female,21813
Besishahar,male,18786
Dordi,female,9915
Dordi,male,8337
Dudhpokhari,female,5955
Dudhpokhari,male,5020
Kwholasothar,female,5522
Kwholasothar,male,4545
Madhyanepal,female,12917
Madhyanepal,male,10557
Marsyangdi,female,10146
Marsyangdi,male,8665
Rainas,female,10428
Rainas,male,8099
Sundarbazar,female,15115
Sundarbazar,male,11904
Aaurahi_mahottari,female,16070
Aaurahi_mahottari,male,15781
Balwa,female,21709
Balwa,male,20659
Bardibas,female,32911
Bardibas,male,31810
Bhangaha,female,24768
Bhangaha,male,22064
Ekdanra,female,14484
Ekdanra,male,14831
Gaushala,female,32926
Gaushala,male,33789
Jaleshwor,female,28892
Jaleshwor,male,30369
Loharpatti,female,20934
Loharpatti,male,18949
Mahottari,female,13616
Mahottari,male,13814
Manara Shiswa,female,24836
Manara Shiswa,male,24856
Matihani,female,15811
Matihani,male,15215
Pipara,female,17799
Pipara,male,17725
Ramgopalpur,female,15645
Ramgopalpur,male,14767
Samsi,female,17053
Samsi,male,16750
Sonma,female,19110
Sonma,male,19637
Bagmati_makawanpur,female,15860
Bagmati_makawanpur,male,14727
Bakaiya,female,20494
Bakaiya,male,19148
Bhimphedi,female,12183
Bhimphedi,male,12777
Chitawan National Park_chitawan,female,0
Chitawan National Park_chitawan,male,0
Hetauda,female,78149
Hetauda,male,76511
Indrasarowar,female,7300
Indrasarowar,male,6591
Kailash,female,11979
Kailash,male,11943
Makawanpurgadhi,female,13043
Makawanpurgadhi,male,12336
Manahari,female,19879
Manahari,male,19243
Parsa Wildlife Reserve,female,0
Parsa Wildlife Reserve,male,0
Raksirang,female,13082
Raksirang,male,13110
Thaha,female,21824
Thaha,male,20298
Chame,female,540
Chame,male,936
Manang Ngisyang,female,1070
Manang Ngisyang,male,1344
Narpabhumi,female,280
Narpabhumi,male,274
Nason,female,987
Nason,male,1107
Belbari,female,35784
Belbari,male,30190
Biratnagar Metropolitan,female,106674
Biratnagar Metropolitan,male,111852
Budhiganga,female,20896
Budhiganga,male,21075
Dhanpalthan,female,19935
Dhanpalthan,male,19535
Gramthan,female,17032
Gramthan,male,15685
Jahada,female,20701
Jahada,male,21118
Kanepokhari,female,20546
Kanepokhari,male,17495
Katahari,female,19576
Katahari,male,20199
Kerabari,female,16712
Kerabari,male,14206
Letang,female,17713
Letang,male,15069
Miklajung,female,15550
Miklajung,male,13159
Pathari Shanishchare,female,33376
Pathari Shanishchare,male,27756
Rangeli,female,26932
Rangeli,male,25111
Ratuwamai,female,29045
Ratuwamai,male,26373
Sundarharaincha,female,25801
Sundarharaincha,male,24957
Sunbarsi,female,42837
Sunbarsi,male,37784
Urlabari,female,29548
Urlabari,male,25148
Chhayanath Rara,female,9853
Chhayanath Rara,male,10604
Khatyad,female,8487
Khatyad,male,8659
Mugum Karmarong,female,2798
Mugum Karmarong,male,2625
Soru,female,6123
Soru,male,6137
Baragung Muktikshetra,female,1377
Baragung Muktikshetra,male,1327
Gharpajhong,female,1584
Gharpajhong,male,2152
Lo-Ghekar Damodarkunda,female,796
Lo-Ghekar Damodarkunda,male,773
Lomanthang,female,1152
Lomanthang,male,1198
Thasang,female,1450
Thasang,male,1643
Annapurna,female,7218
Annapurna,male,6119
Beni,female,18663
Beni,male,16215
Dhawalagiri,female,7770
Dhawalagiri,male,6342
Dhorpatan Hunting Reserve,female,0
Dhorpatan Hunting Reserve,male,0
Malika,female,10539
Malika,male,8669
Mangala,female,9184
Mangala,male,7150
Raghuganga,female,8872
Raghuganga,male,6900
Baudikali,female,8744
Baudikali,male,6990
Binayi Triveni,female,18222
Binayi Triveni,male,14897
Bulingtar,female,10459
Bulingtar,male,8663
Chitawan National Park,female,0
Chitawan National Park,male,0
Devchuli,female,23000
Devchuli,male,19667
Gaindakot,female,30651
Gaindakot,male,28239
Hupsekot,female,13793
Hupsekot,male,11272
Kawasoti,female,33851
Kawasoti,male,28732
Madhyabindu,female,30105
Madhyabindu,male,24319
Belkotgadhi,female,21099
Belkotgadhi,male,19607
Bidur,female,29456
Bidur,male,26194
Dupcheshwar,female,10961
Dupcheshwar,male,11145
Kakani,female,13284
Kakani,male,13225
Kispang,female,7919
Kispang,male,6942
Langtang National Park,female,0
Langtang National Park,male,0
Likhu_nuwakot,female,9045
Likhu_nuwakot,male,7921
Meghang,female,7420
Meghang,male,6064
Panchakanya,female,8234
Panchakanya,male,7711
Shivapuri,female,11020
Shivapuri,male,9763
Shivapuri Watershed and Wildlife Reserve,female,0
Shivapuri Watershed and Wildlife Reserve,male,0
Suryagadhi,female,8606
Suryagadhi,male,8194
Tadi,female,8955
Tadi,male,8987
Tarkeshwar,female,8685
Tarkeshwar,male,7034
Champadevi,female,10092
Champadevi,male,8569
Chishankhugadhi,female,8228
Chishankhugadhi,male,6978
Khijidemba,female,7840
Khijidemba,male,7451
Likhu,female,7527
Likhu,male,6530
Manebhanjyang,female,11478
Manebhanjyang,male,9615
Molung,female,8715
Molung,male,7559
Siddhicharan,female,15408
Siddhicharan,male,13436
Sunkoshi,female,10009
Sunkoshi,male,8549
Baganaskali,female,12351
Baganaskali,male,9010
Mathagadhi,female,13901
Mathagadhi,male,11116
Nisdi,female,12396
Nisdi,male,10215
Purbakhola,female,11027
Purbakhola,male,8563
Rainadevi Chhahara,female,14810
Rainadevi Chhahara,male,11659
Rambha,female,11738
Rambha,male,8452
Rampur,female,19968
Rampur,male,15536
Ribdikot,female,10790
Ribdikot,male,7980
Tansen,female,28088
Tansen,male,24450
Tinau,female,10271
Tinau,male,8859
Hilihang,female,12267
Hilihang,male,10687
Kummayak,female,8717
Kummayak,male,7402
Miklajung,female,13313
Miklajung,male,11343
Phalelung,female,11564
Phalelung,male,10320
Phalgunanda,female,12952
Phalgunanda,male,11281
Phidim,female,26084
Phidim,male,24080
Tumbewa,female,7154
Tumbewa,male,6300
Yangwarak,female,9580
Yangwarak,male,8773
Bihadi,female,7554
Bihadi,male,5855
Jaljala,female,11750
Jaljala,male,9777
Kushma,female,21904
Kushma,male,18470
Mahashila,female,5466
Mahashila,male,4392
Modi,female,12002
Modi,male,9310
Paiyun,female,8586
Paiyun,male,6795
Phalebas,female,14027
Phalebas,male,10702
Bahudaramai,female,18939
Bahudaramai,male,20734
Bindabasini,female,11832
Bindabasini,male,12636
Birgunj,female,114057
Birgunj,male,130029
Chhipaharmai,female,13037
Chhipaharmai,male,13647
Chitawan National Park_parsa,female,0
Chitawan National Park_parsa,male,0
Dhobini,female,9719
Dhobini,male,10192
Jagarnathpur,female,15848
Jagarnathpur,male,16826
Jirabhawani,female,11398
Jirabhawani,male,11367
Kalikamai,female,10202
Kalikamai,male,10939
Pakahamainpur,female,9918
Pakahamainpur,male,10799
Parsagadhi,female,19047
Parsagadhi,male,19560
Paterwa Sugauli,female,11821
Paterwa Sugauli,male,12096
Pokhariya,female,16026
Pokhariya,male,16859
Sakhuwa Prasauni,female,16250
Sakhuwa Prasauni,male,16842
Thori,female,10565
Thori,male,9832
Airawati,female,12727
Airawati,male,9665
Gaumukhi,female,14026
Gaumukhi,male,11395
Jhimruk,female,15814
Jhimruk,male,12117
Mallarani,female,10142
Mallarani,male,7544
Mandavi,female,8481
Mandavi,male,6577
Naubahini,female,16679
Naubahini,male,13631
Pyuthan,female,21689
Pyuthan,male,17771
Sarumarani,female,10327
Sarumarani,male,8330
Swargadwari,female,18164
Swargadwari,male,18164
Doramba,female,12436
Doramba,male,10337
Gokulganga,female,10774
Gokulganga,male,9300
Khadadevi,female,13999
Khadadevi,male,11787
Likhu_ramechhap,female,12494
Likhu_ramechhap,male,10641
Manthali,female,24678
Manthali,male,20936
Ramechhap,female,15741
Ramechhap,male,13728
Sunapati,female,9780
Sunapati,male,8368
Umakunda,female,9358
Umakunda,male,8289
Gosaikunda,female,3618
Gosaikunda,male,4516
Kalika_rasuwa,female,4942
Kalika_rasuwa,male,4560
Naukunda,female,6051
Naukunda,male,5782
Parbati Kunda,female,2793
Parbati Kunda,male,2740
Uttargaya,female,4421
Uttargaya,male,3877
Baudhimai,female,16014
Baudhimai,male,17251
Brindaban,female,20924
Brindaban,male,21846
Chandrapur,female,36201
Chandrapur,male,35884
Dewahi Gonahi,female,15692
Dewahi Gonahi,male,16451
Durga Bhagwati,female,10807
Durga Bhagwati,male,11892
Gadhimai,female,19705
Gadhimai,male,20705
Garuda,female,24488
Garuda,male,26018
Gaur,female,16673
Gaur,male,18697
Gujara,female,23212
Gujara,male,23406
Ishanath,female,20567
Ishanath,male,20868
Katahariya,female,18569
Katahariya,male,19843
Madhav Narayan,female,16922
Madhav Narayan,male,18253
Maulapur,female,12773
Maulapur,male,13651
Paroha,female,18244
Paroha,male,19209
Phatuwa Bijayapur,female,17853
Phatuwa Bijayapur,male,18455
Rajdevi,female,14571
Rajdevi,male,16058
Rajpur,female,20755
Rajpur,male,20381
Yemunamai,female,11673
Yemunamai,male,12211
Gangadev,female,10792
Gangadev,male,9217
Lungri,female,13127
Lungri,male,10504
Madi,female,9795
Madi,male,8191
Parivartan,female,11499
Parivartan,male,9279
Rolpa,female,18133
Rolpa,male,16214
Runtigadhi,female,15624
Runtigadhi,male,12893
Sunchhahari,female,8600
Sunchhahari,male,7434
Sunil Smriti,female,15498
Sunil Smriti,male,12715
Thawang,female,5846
Thawang,male,5035
Triveni,female,12492
